Tipo de equipo e instalación;Ámbito medioambiental;Agrupación de actividad económica;periodo;Total
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C23. Fabricación de otros productos minerales no metálicos;2017;6.349.724
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C23. Fabricación de otros productos minerales no metálicos;2016;17.104.703
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C23. Fabricación de otros productos minerales no metálicos;2015;6.698.881
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C23. Fabricación de otros productos minerales no metálicos;2014;1.561.695
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C23. Fabricación de otros productos minerales no metálicos;2013;1.506.173
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C23. Fabricación de otros productos minerales no metálicos;2012;7.415.496
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C23. Fabricación de otros productos minerales no metálicos;2011;12.338.151
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C23. Fabricación de otros productos minerales no metálicos;2010;21.213.849
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C23. Fabricación de otros productos minerales no metálicos;2009;30.889.482
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C23. Fabricación de otros productos minerales no metálicos;2008;66.982.661
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C24-25. Metalurgia y fabricación de productos metálicos;2021;18.976.858
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C24-25. Metalurgia y fabricación de productos metálicos;2020;18.806.952
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C24-25. Metalurgia y fabricación de productos metálicos;2019;27.409.261
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C24-25. Metalurgia y fabricación de productos metálicos;2018;19.190.342
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C24-25. Metalurgia y fabricación de productos metálicos;2017;18.242.823
