Sectores de actividad económica agregados;Categoría de residuos (CER-Stat) agregada;Peligrosidad;año;Total
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;Peligrosos;2015;..
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;Total;2021;6.316.368,70
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;Total;2020;6.302.433,30
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;Total;2019;6.158.033,90
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;Total;2018;6.230.097,40
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;Total;2017;6.031.875,60
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;Total;2016;6.243.798,10
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;Total;2015;6.143.003,70
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;No peligrosos;2021;..
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;No peligrosos;2020;..
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;No peligrosos;2019;..
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;No peligrosos;2018;..
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;No peligrosos;2017;..
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;No peligrosos;2016;..
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;No peligrosos;2015;..
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;Peligrosos;2021;28.071,20
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;Peligrosos;2020;28.217,70
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;Peligrosos;2019;25.925,20
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;Peligrosos;2018;28.153,30
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;Peligrosos;2017;23.080,50
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;Peligrosos;2016;27.667,40
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;Peligrosos;2015;25.720,80
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;Total;2021;28.071,20
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;Total;2020;28.217,70
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;Total;2019;25.925,20
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;Total;2018;28.153,30
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;Total;2017;23.080,50
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;Total;2016;27.667,40
A: Agricultura ganadería silvicultura y pesca;Total peligrosos;Total;2015;25.720,80
A: Agricultura ganadería silvicultura y pesca;TOTAL;No peligrosos;2021;..
A: Agricultura ganadería silvicultura y pesca;TOTAL;No peligrosos;2020;..
A: Agricultura ganadería silvicultura y pesca;TOTAL;No peligrosos;2019;..
A: Agricultura ganadería silvicultura y pesca;TOTAL;No peligrosos;2018;..
A: Agricultura ganadería silvicultura y pesca;TOTAL;No peligrosos;2017;..
A: Agricultura ganadería silvicultura y pesca;TOTAL;No peligrosos;2016;..
A: Agricultura ganadería silvicultura y pesca;TOTAL;No peligrosos;2015;..
